education_uri,education_label,count
http://www.wikidata.org/entity/Q2093794,Vassar College,12
http://www.wikidata.org/entity/Q1190812,University of New Mexico,12
http://www.wikidata.org/entity/Q230899,University of Manchester,12
http://www.wikidata.org/entity/Q820887,University of Florence,12
http://www.wikidata.org/entity/Q16566015,Faculty of Natural Sciences and Museum UNLP,11
http://www.wikidata.org/entity/Q1115639,Franz Joseph University,11
http://www.wikidata.org/entity/Q926749,Lycée Condorcet,11
http://www.wikidata.org/entity/Q222738,National Autonomous University of Mexico,11
http://www.wikidata.org/entity/Q4360209,The Imperial Saint Petersburg Archaeological Institute,11
http://www.wikidata.org/entity/Q1499053,Saint Petersburg Theological Academy,11
http://www.wikidata.org/entity/Q1062129,Tohoku University,11
http://www.wikidata.org/entity/Q835960,University of São Paulo,11
http://www.wikidata.org/entity/Q1474624,Yerevan State University,11
http://www.wikidata.org/entity/Q1232180,University of Granada,11
http://www.wikidata.org/entity/Q221653,Utrecht University,11
http://www.wikidata.org/entity/Q550376,University of Baghdad,11
http://www.wikidata.org/entity/Q161976,University of Würzburg,11
http://www.wikidata.org/entity/Q317053,University of Giessen,11
http://www.wikidata.org/entity/Q503473,University of Geneva,11
http://www.wikidata.org/entity/Q153265,University of Cincinnati,11
http://www.wikidata.org/entity/Q240631,University of Belgrade,11
http://www.wikidata.org/entity/Q1201513,University of Otago,11
http://www.wikidata.org/entity/Q192334,University of North Carolina at Chapel Hill,11
http://www.wikidata.org/entity/Q1551183,Chernivtsi University,10
http://www.wikidata.org/entity/Q921088,Doshisha University,10
http://www.wikidata.org/entity/Q245247,King's College London,10
http://www.wikidata.org/entity/Q1137665,Ghent University,10
http://www.wikidata.org/entity/Q841804,Moscow Theological Academy,10
http://www.wikidata.org/entity/Q1376987,New College,10
http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,10
http://www.wikidata.org/entity/Q1122926,University of Lisbon,10
http://www.wikidata.org/entity/Q1629255,Veliko Tarnovo University,10
http://www.wikidata.org/entity/Q1422903,University of Porto,10
http://www.wikidata.org/entity/Q875788,University of Innsbruck,10
http://www.wikidata.org/entity/Q1432632,University of Reading,10
http://www.wikidata.org/entity/Q270532,University of Aberdeen,10
http://www.wikidata.org/entity/Q954035,University of Bradford,10
http://www.wikidata.org/entity/Q1229996,University of Seville,10
http://www.wikidata.org/entity/Q1245999,University of Siena,10
http://www.wikidata.org/entity/Q691851,University of Naples Federico II,10
http://www.wikidata.org/entity/Q192775,University of Glasgow,10
http://www.wikidata.org/entity/Q457281,University of Illinois Urbana-Champaign,10
http://www.wikidata.org/entity/Q319078,University of Melbourne,10
http://www.wikidata.org/entity/Q2537765,Wadham College,10
http://www.wikidata.org/entity/Q167733,Barnard College,9
http://www.wikidata.org/entity/Q3445232,"Faculty of Humanities and Social Sciences, University of Zagreb",9
http://www.wikidata.org/entity/Q2302586,Aix-Marseille University,9
http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",9
http://www.wikidata.org/entity/Q427677,Al-Farabi Kazakh National University,9
http://www.wikidata.org/entity/Q815432,Keio University,9
http://www.wikidata.org/entity/Q495330,Kokugakuin University,9
http://www.wikidata.org/entity/Q1188786,Kyushu University,9
http://www.wikidata.org/entity/Q863940,Gonville and Caius College,9
http://www.wikidata.org/entity/Q1149393,Kansai University,9
http://www.wikidata.org/entity/Q4304039,Moscow Archaeological Institute,9
http://www.wikidata.org/entity/Q49123,Harvard College,9
http://www.wikidata.org/entity/Q161982,Johannes Gutenberg University Mainz,9
http://www.wikidata.org/entity/Q220144,"SOAS, University of London",9
http://www.wikidata.org/entity/Q1536258,Southern Methodist University,9
http://www.wikidata.org/entity/Q467025,Pontifical Gregorian University,9
http://www.wikidata.org/entity/Q1989628,Oles Honchar Dnipro National University,9
http://www.wikidata.org/entity/Q4533069,MSU Faculty of Ethnology,9
http://www.wikidata.org/entity/Q73094,The Queen's College,9
http://www.wikidata.org/entity/Q568554,University of Caen Normandy,9
http://www.wikidata.org/entity/Q40025,University of Erlangen–Nuremberg,9
http://www.wikidata.org/entity/Q368643,University of Coimbra,9
http://www.wikidata.org/entity/Q903092,University of Debrecen,9
http://www.wikidata.org/entity/Q675848,University of Zagreb,9
http://www.wikidata.org/entity/Q7895753,"University of Michigan College of Literature, Science, and the Arts",9
http://www.wikidata.org/entity/Q850730,University of Groningen,9
http://www.wikidata.org/entity/Q1193547,Tulane University of Louisiana,9
http://www.wikidata.org/entity/Q219563,University of Washington,9
http://www.wikidata.org/entity/Q2983698,Collège Stanislas de Paris,8
http://www.wikidata.org/entity/Q1132066,École Spéciale Militaire de Saint-Cyr,8
http://www.wikidata.org/entity/Q644789,Catholic University of Leuven,8
http://www.wikidata.org/entity/Q52440672,École nationale des langues orientales vivantes,8
