archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q114416,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114416,http://www.wikidata.org/entity/Q446760,educational system
http://www.wikidata.org/entity/Q11451050,http://www.wikidata.org/entity/Q765822,underwater archaeology
http://www.wikidata.org/entity/Q1145409,http://www.wikidata.org/entity/Q12271,architecture
http://www.wikidata.org/entity/Q1145409,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q1145409,http://www.wikidata.org/entity/Q77590,civil engineering
http://www.wikidata.org/entity/Q114558232,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114571988,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11458050,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11464134,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q114649,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11466443,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11473638,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11479643,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q114805608,http://www.wikidata.org/entity/Q6189617,jewelry design
http://www.wikidata.org/entity/Q1148959,http://www.wikidata.org/entity/Q23019185,Near Eastern studies
http://www.wikidata.org/entity/Q1148959,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1148959,http://www.wikidata.org/entity/Q315,language
http://www.wikidata.org/entity/Q1148959,http://www.wikidata.org/entity/Q34049,Semitic
http://www.wikidata.org/entity/Q1148959,http://www.wikidata.org/entity/Q41493,ancient history
http://www.wikidata.org/entity/Q114919,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114919,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q115182035,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q115182035,http://www.wikidata.org/entity/Q82708,Church of England
http://www.wikidata.org/entity/Q11530773,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q115310409,http://www.wikidata.org/entity/Q119190,medieval studies
http://www.wikidata.org/entity/Q115310409,http://www.wikidata.org/entity/Q12554,Middle Ages
http://www.wikidata.org/entity/Q115310409,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q115310409,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11532832,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q115375426,http://www.wikidata.org/entity/Q1004205,Bulla Regia
http://www.wikidata.org/entity/Q115375426,http://www.wikidata.org/entity/Q2826229,North Africa during Antiquity
http://www.wikidata.org/entity/Q115375426,http://www.wikidata.org/entity/Q2827281,agrégation of grammar
http://www.wikidata.org/entity/Q11539977,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11539977,http://www.wikidata.org/entity/Q472760,antique
http://www.wikidata.org/entity/Q11539977,http://www.wikidata.org/entity/Q858517,cultural history
http://www.wikidata.org/entity/Q11542128,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11550613,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11557092,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q115675251,http://www.wikidata.org/entity/Q695827,Protohistory
http://www.wikidata.org/entity/Q1160821,http://www.wikidata.org/entity/Q11190,medicine
http://www.wikidata.org/entity/Q1160821,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1160821,http://www.wikidata.org/entity/Q43455,ethnology
http://www.wikidata.org/entity/Q11610210,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q1161430,http://www.wikidata.org/entity/Q12271,architecture
http://www.wikidata.org/entity/Q1161430,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q1161430,http://www.wikidata.org/entity/Q8180985,history of architecture
http://www.wikidata.org/entity/Q116165339,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11619718,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q116225257,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q116225257,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116225257,http://www.wikidata.org/entity/Q765822,underwater archaeology
http://www.wikidata.org/entity/Q11624685,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11625065,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q116309,http://www.wikidata.org/entity/Q12237297,languages of the Caucasus
http://www.wikidata.org/entity/Q116309,http://www.wikidata.org/entity/Q132151,ethnography
http://www.wikidata.org/entity/Q116309,http://www.wikidata.org/entity/Q143,Esperanto
http://www.wikidata.org/entity/Q116309,http://www.wikidata.org/entity/Q476294,oriental studies
http://www.wikidata.org/entity/Q116309,http://www.wikidata.org/entity/Q513850,Armenian studies
http://www.wikidata.org/entity/Q1163432,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q1163432,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1163432,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q1163432,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q1163602,http://www.wikidata.org/entity/Q134995,bibliography
http://www.wikidata.org/entity/Q1163602,http://www.wikidata.org/entity/Q18336,heraldry
http://www.wikidata.org/entity/Q1163602,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1163602,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q1163602,http://www.wikidata.org/entity/Q379838,sigillography
http://www.wikidata.org/entity/Q1163905,http://www.wikidata.org/entity/Q113884225,ancient archeology
http://www.wikidata.org/entity/Q1163905,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11648615,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q116535294,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q116535294,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116535294,http://www.wikidata.org/entity/Q8425,society
http://www.wikidata.org/entity/Q11656454,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11656492,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11656492,http://www.wikidata.org/entity/Q28598,cultural anthropology
http://www.wikidata.org/entity/Q116618942,http://www.wikidata.org/entity/Q132151,ethnography
http://www.wikidata.org/entity/Q116618942,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11661949,http://www.wikidata.org/entity/Q406905,history of art in Europe
http://www.wikidata.org/entity/Q116696219,http://www.wikidata.org/entity/Q171141,gastronomy
http://www.wikidata.org/entity/Q116696219,http://www.wikidata.org/entity/Q358120,historical anthropology
http://www.wikidata.org/entity/Q116696219,http://www.wikidata.org/entity/Q6460735,meal
http://www.wikidata.org/entity/Q116729498,http://www.wikidata.org/entity/Q13404081,bioarchaeology
http://www.wikidata.org/entity/Q116729498,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116729498,http://www.wikidata.org/entity/Q28598,cultural anthropology
http://www.wikidata.org/entity/Q116729498,http://www.wikidata.org/entity/Q29051,social anthropology
http://www.wikidata.org/entity/Q1167357,http://www.wikidata.org/entity/Q145903,Egyptology
http://www.wikidata.org/entity/Q116760001,http://www.wikidata.org/entity/Q11756,prehistory
http://www.wikidata.org/entity/Q116774250,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116774250,http://www.wikidata.org/entity/Q28598,cultural anthropology
http://www.wikidata.org/entity/Q116774250,http://www.wikidata.org/entity/Q460162,museology
http://www.wikidata.org/entity/Q116774760,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116774760,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q116777669,http://www.wikidata.org/entity/Q11451,agriculture
http://www.wikidata.org/entity/Q116777669,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116777669,http://www.wikidata.org/entity/Q914856,historic preservation
http://www.wikidata.org/entity/Q116777669,http://www.wikidata.org/entity/Q952080,history of agriculture
http://www.wikidata.org/entity/Q116790892,http://www.wikidata.org/entity/Q12778050,art craft
http://www.wikidata.org/entity/Q116790892,http://www.wikidata.org/entity/Q1792400,art foundry
http://www.wikidata.org/entity/Q116790892,http://www.wikidata.org/entity/Q207241,applied arts
http://www.wikidata.org/entity/Q116790892,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116790892,http://www.wikidata.org/entity/Q959782,archaeological excavation
http://www.wikidata.org/entity/Q11685832,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q116859009,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q11689853,http://www.wikidata.org/entity/Q113209507,creative and professional writing
http://www.wikidata.org/entity/Q11689853,http://www.wikidata.org/entity/Q115161690,bibliographic activity
http://www.wikidata.org/entity/Q11689853,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11689853,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q116925322,http://www.wikidata.org/entity/Q206730,Etruria
