person_uri,education_uri,education_label
http://www.wikidata.org/entity/Q785847,http://www.wikidata.org/entity/Q564248,Buckingham Browne & Nichols School
http://www.wikidata.org/entity/Q7328095,http://www.wikidata.org/entity/Q564248,Buckingham Browne & Nichols School
http://www.wikidata.org/entity/Q57247212,http://www.wikidata.org/entity/Q5644857,Hamilton Boys' High School
http://www.wikidata.org/entity/Q5083028,http://www.wikidata.org/entity/Q5654701,Harbord Collegiate Institute
http://www.wikidata.org/entity/Q314267,http://www.wikidata.org/entity/Q5656757,Hare School
http://www.wikidata.org/entity/Q7358642,http://www.wikidata.org/entity/Q5666542,Harrow High School
http://www.wikidata.org/entity/Q12144416,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q107491161,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12096022,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12121035,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12122314,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12085482,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12082100,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12086432,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12120627,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12083850,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12130349,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12152749,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q132403566,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
