person_uri,person_label
http://www.wikidata.org/entity/Q103915870,Maria Elisa Micheli
http://www.wikidata.org/entity/Q10391750,Virgínia Rau
http://www.wikidata.org/entity/Q10392745,Vítor Oliveira Jorge
http://www.wikidata.org/entity/Q103947924,Mertxe Urteaga
http://www.wikidata.org/entity/Q103950531,François Boulanger
http://www.wikidata.org/entity/Q103972619,Marina Cristofani Martelli
http://www.wikidata.org/entity/Q103983023,Jean-François Garnier
http://www.wikidata.org/entity/Q1039916,Carl Nipperdey
http://www.wikidata.org/entity/Q1040101,Ivan Borkovský
http://www.wikidata.org/entity/Q1040129,Carl Rademacher
http://www.wikidata.org/entity/Q104028846,Fritz Toebelmann
http://www.wikidata.org/entity/Q104034830,Mirjo Salvini
http://www.wikidata.org/entity/Q104034895,Béatrice André-Salvini
http://www.wikidata.org/entity/Q1040351,Carl S. Ehrlich
http://www.wikidata.org/entity/Q1040466,Carl Schmidt
http://www.wikidata.org/entity/Q104056968,Carolyn Boyd
http://www.wikidata.org/entity/Q104086747,Florian Anastasiu
http://www.wikidata.org/entity/Q104089446,Maria Teresa Natale
http://www.wikidata.org/entity/Q104094300,Jean Des Gagniers
http://www.wikidata.org/entity/Q1040986,Carl Weickert
http://www.wikidata.org/entity/Q104114186,Julien Feuvrier
http://www.wikidata.org/entity/Q104120132,John Spencer Purvis Bradford
http://www.wikidata.org/entity/Q104120220,Lionel Bier
http://www.wikidata.org/entity/Q104120543,Peter Ruggendorfer
http://www.wikidata.org/entity/Q104120785,Hilke Thür
http://www.wikidata.org/entity/Q104121119,Maria Dawid
http://www.wikidata.org/entity/Q104121231,Alfred Galik
http://www.wikidata.org/entity/Q104126255,Claudia Lang-Auinger
http://www.wikidata.org/entity/Q104129217,Kathryn Topper
http://www.wikidata.org/entity/Q104139366,Eric Huysecom
http://www.wikidata.org/entity/Q104161399,Davit Tushabramishvili
http://www.wikidata.org/entity/Q104162204,Roger White
http://www.wikidata.org/entity/Q1041712,Luigi Canina
http://www.wikidata.org/entity/Q1041754,Étienne Drioton
http://www.wikidata.org/entity/Q104178705,John W. Hessler
http://www.wikidata.org/entity/Q1042124,Carlo Dossi
http://www.wikidata.org/entity/Q104214856,Caitlín Eilís Barrett
http://www.wikidata.org/entity/Q104222,Eberhard Zangger
http://www.wikidata.org/entity/Q104246,Jan Lichardus
http://www.wikidata.org/entity/Q104258,Dieter Arnold
http://www.wikidata.org/entity/Q1043190,Carlos Ribeiro
http://www.wikidata.org/entity/Q104327,Otto Rossbach
http://www.wikidata.org/entity/Q104371594,Jean Cayon
http://www.wikidata.org/entity/Q104377094,Francesca Paola Massara
http://www.wikidata.org/entity/Q104380,Prince Otto of Hesse and by Rhine
http://www.wikidata.org/entity/Q104385112,Edoardo Gatti
http://www.wikidata.org/entity/Q104388801,Julius Benjamin Sorterup
http://www.wikidata.org/entity/Q104399,Bernard V. Bothmer
http://www.wikidata.org/entity/Q104414525,Ernesto Vergara Caffarelli
http://www.wikidata.org/entity/Q104414581,Gérard Réveillac
http://www.wikidata.org/entity/Q104417340,Mustafa Büyükkolancı
http://www.wikidata.org/entity/Q104417377,Elisabeth Rathmayr
http://www.wikidata.org/entity/Q104417523,Recep Meriç
http://www.wikidata.org/entity/Q104417668,Şule Pfeiffer-Taş
http://www.wikidata.org/entity/Q104433978,Alan Mayne
http://www.wikidata.org/entity/Q104433991,William Copley Winslow
http://www.wikidata.org/entity/Q104438596,Jean Schaub
http://www.wikidata.org/entity/Q104440,Vladimir Milojčić
http://www.wikidata.org/entity/Q104446931,Philippe Barral
http://www.wikidata.org/entity/Q104447003,Matthieu Thivet
http://www.wikidata.org/entity/Q104447446,Philippe Gruat
http://www.wikidata.org/entity/Q104450704,Carmelo La Farina
http://www.wikidata.org/entity/Q104471394,Amber M VanDerwarker
http://www.wikidata.org/entity/Q104518127,Francesco Rocchi
http://www.wikidata.org/entity/Q104518189,Wanli Chen
http://www.wikidata.org/entity/Q104518675,Manon Savard
http://www.wikidata.org/entity/Q104521818,Claude Dubois
http://www.wikidata.org/entity/Q104523160,Olexandr Yanevich
http://www.wikidata.org/entity/Q104535229,Astrid Larcher
http://www.wikidata.org/entity/Q104539772,Sōzaburō Yagi
http://www.wikidata.org/entity/Q104549314,Jon Albers
http://www.wikidata.org/entity/Q104583039,Maria Letizia Putti
http://www.wikidata.org/entity/Q104596720,Haicheng Wang
http://www.wikidata.org/entity/Q104597861,Jerzy Brzozowski
http://www.wikidata.org/entity/Q1046137,Nikolay Veselovsky
http://www.wikidata.org/entity/Q104623016,John Giblin
http://www.wikidata.org/entity/Q104631623,John Chapman
http://www.wikidata.org/entity/Q104637857,Giovanni Leonardi
http://www.wikidata.org/entity/Q104660806,Enrica Pozzi
http://www.wikidata.org/entity/Q104660812,Paolo Peduto
http://www.wikidata.org/entity/Q104660828,Renato Perini
