,person_uri,per_activ,gender,country,occup_s,edpl
136,http://www.wikidata.org/entity/Q2699511,1851-1875,male,Spain Port.,historian,other_uni
137,http://www.wikidata.org/entity/Q3092616,1851-1875,male,France,other,Beaux-Arts de Paris
138,http://www.wikidata.org/entity/Q1038265,1851-1875,male,Baltic States Fin. Belar.,historian,other_uni
139,http://www.wikidata.org/entity/Q28973725,1851-1875,male,Belgium Netherl.,historian,other_uni
140,http://www.wikidata.org/entity/Q2857127,1851-1875,male,Russian Federation,other,other_uni
141,http://www.wikidata.org/entity/Q15523834,1851-1875,male,United Kingdom,art-historian,other_uni
142,http://www.wikidata.org/entity/Q15075015,1851-1875,male,Russian Federation,university-teacher,other_uni
143,http://www.wikidata.org/entity/Q5738513,1851-1875,male,United States Can.,other,other_uni
144,http://www.wikidata.org/entity/Q48495,1851-1875,male,Russian Federation,historian,other_uni
145,http://www.wikidata.org/entity/Q1131427,1851-1875,male,Italy,historian,other_uni
146,http://www.wikidata.org/entity/Q90643,1851-1875,male,Germany,other,Humboldt-Universität zu Berlin
147,http://www.wikidata.org/entity/Q313458,1851-1875,male,United States Can.,historian,other_uni
148,http://www.wikidata.org/entity/Q91993,1851-1875,male,Germany,university-teacher,University of Göttingen
149,http://www.wikidata.org/entity/Q27980763,1851-1875,male,Central Europe,other,other_uni
150,http://www.wikidata.org/entity/Q1384083,1851-1875,male,Scandinavia,historian,Uppsala University
151,http://www.wikidata.org/entity/Q1066666,1851-1875,male,France,historian,other_uni
152,http://www.wikidata.org/entity/Q1985476,1851-1875,male,United Kingdom,university-teacher,other_uni
153,http://www.wikidata.org/entity/Q701104,1851-1875,male,Scandinavia,university-teacher,other_uni
154,http://www.wikidata.org/entity/Q4070220,1851-1875,male,Russian Federation,historian,other_uni
155,http://www.wikidata.org/entity/Q78030186,1851-1875,male,France,politician,other_uni
156,http://www.wikidata.org/entity/Q3579930,1851-1875,male,France,other,other_uni
157,http://www.wikidata.org/entity/Q20819296,1851-1875,male,France,other,other_uni
158,http://www.wikidata.org/entity/Q66001,1851-1875,male,Germany,university-teacher,Humboldt-Universität zu Berlin
159,http://www.wikidata.org/entity/Q4180154,1851-1875,male,Baltic States Fin. Belar.,museologist,other_uni
160,http://www.wikidata.org/entity/Q67091,1851-1875,male,Germany,university-teacher,other_uni
161,http://www.wikidata.org/entity/Q4149265,1851-1875,male,Russian Federation,university-teacher,Saint Petersburg State University
162,http://www.wikidata.org/entity/Q3635373,1851-1875,male,Italy,other,other_uni
163,http://www.wikidata.org/entity/Q11736273,1851-1875,male,Poland,politician,other_uni
164,http://www.wikidata.org/entity/Q1873962,1851-1875,male,Germany,university-teacher,Leipzig University
165,http://www.wikidata.org/entity/Q7328034,1851-1875,male,United Kingdom,politician,other_uni
166,http://www.wikidata.org/entity/Q112034889,1851-1875,male,France,historian,other_uni
167,http://www.wikidata.org/entity/Q75953061,1851-1875,male,France,other,other_uni
168,http://www.wikidata.org/entity/Q2087467,1851-1875,male,France,curator,other_uni
169,http://www.wikidata.org/entity/Q382221,1851-1875,male,United Kingdom,anthropologist,other_uni
170,http://www.wikidata.org/entity/Q1961193,1851-1875,male,Russian Federation,historian,other_uni
171,http://www.wikidata.org/entity/Q3750942,1851-1875,male,United Kingdom,art-historian,other_uni
172,http://www.wikidata.org/entity/Q4247211,1851-1875,male,Poland,historian,Humboldt-Universität zu Berlin
173,http://www.wikidata.org/entity/Q3386089,1851-1875,male,France,other,Beaux-Arts de Paris
174,http://www.wikidata.org/entity/Q3426742,1851-1875,male,Scandinavia,other,other_uni
175,http://www.wikidata.org/entity/Q8010179,1851-1875,male,United Kingdom,anthropologist,other_uni
176,http://www.wikidata.org/entity/Q6283400,1851-1875,male,United Kingdom,anthropologist,other_uni
177,http://www.wikidata.org/entity/Q4403723,1851-1875,male,Russian Federation,historian,other_uni
178,http://www.wikidata.org/entity/Q6220650,1851-1875,male,Scandinavia,university-teacher,other_uni
179,http://www.wikidata.org/entity/Q4403727,1851-1875,male,Russian Federation,historian,other_uni
180,http://www.wikidata.org/entity/Q96357739,1851-1875,male,Belgium Netherl.,writer,other_uni
181,http://www.wikidata.org/entity/Q851708,1851-1875,male,United Kingdom,historian,other_uni
182,http://www.wikidata.org/entity/Q61407,1851-1875,male,Germany,university-teacher,University of Bonn
183,http://www.wikidata.org/entity/Q4477850,1851-1875,male,Russian Federation,other,other_uni
184,http://www.wikidata.org/entity/Q122512,1851-1875,male,Germany,university-teacher,other_uni
185,http://www.wikidata.org/entity/Q548696,1851-1875,male,France,historian,other_uni
