"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q1015233","http://www.wikidata.org/entity/Q6581097","1846","William Henry Holmes","male"
"http://www.wikidata.org/entity/Q101540815","http://www.wikidata.org/entity/Q6581072","1956","Anita Synnestvedt","female"
"http://www.wikidata.org/entity/Q101552364","http://www.wikidata.org/entity/Q6581097","1960","Yves Menez","male"
"http://www.wikidata.org/entity/Q101552525","http://www.wikidata.org/entity/Q6581097","1969","Elven Le Goff","male"
"http://www.wikidata.org/entity/Q101579173","http://www.wikidata.org/entity/Q6581097","1924","Melvin L. Fowler","male"
"http://www.wikidata.org/entity/Q101596","http://www.wikidata.org/entity/Q6581097","1965","Ludwig D. Morenz","male"
"http://www.wikidata.org/entity/Q101627274","http://www.wikidata.org/entity/Q6581097","1859","Juliaan Claerhout","male"
"http://www.wikidata.org/entity/Q101678","http://www.wikidata.org/entity/Q6581097","1926","Werner Kaiser","male"
"http://www.wikidata.org/entity/Q101771","http://www.wikidata.org/entity/Q6581097","1929","Gottfried Gruben","male"
"http://www.wikidata.org/entity/Q101809","http://www.wikidata.org/entity/Q6581097","1964","Thomas Schneider","male"
"http://www.wikidata.org/entity/Q101885","http://www.wikidata.org/entity/Q6581097","1965","Nils Hellner","male"
"http://www.wikidata.org/entity/Q101897170","http://www.wikidata.org/entity/Q6581097","1872","Jules Viatte","male"
"http://www.wikidata.org/entity/Q101910","http://www.wikidata.org/entity/Q6581097","1950","Hans Reinhard Seeliger","male"
"http://www.wikidata.org/entity/Q101915","http://www.wikidata.org/entity/Q6581097","1801","Georg Christian Friedrich Lisch","male"
"http://www.wikidata.org/entity/Q101927223","http://www.wikidata.org/entity/Q6581097","1958","Paul Reynolds","male"
"http://www.wikidata.org/entity/Q101954","http://www.wikidata.org/entity/Q6581097","1857","Eugen Hultsch","male"
"http://www.wikidata.org/entity/Q102022","http://www.wikidata.org/entity/Q6581097","1838","Alwin Schultz","male"
"http://www.wikidata.org/entity/Q102078101","http://www.wikidata.org/entity/Q6581097","1973","Georg A. Plattner","male"
"http://www.wikidata.org/entity/Q102078229","http://www.wikidata.org/entity/Q6581097","1944","Vitaliy Tmenov","male"
"http://www.wikidata.org/entity/Q102112541","http://www.wikidata.org/entity/Q6581072","1982","Katja A. P. Soennecken","female"
"http://www.wikidata.org/entity/Q102182635","http://www.wikidata.org/entity/Q6581097","1978","Christian Horn","male"
"http://www.wikidata.org/entity/Q102184402","http://www.wikidata.org/entity/Q6581097","1856","Julio Furgús","male"
"http://www.wikidata.org/entity/Q102228","http://www.wikidata.org/entity/Q6581097","1897","Siegfried Schott","male"
"http://www.wikidata.org/entity/Q102243998","http://www.wikidata.org/entity/Q6581097","1923","David T.-D. Clarke","male"
"http://www.wikidata.org/entity/Q102245502","http://www.wikidata.org/entity/Q6581097","1930","William G. Putnam","male"
"http://www.wikidata.org/entity/Q102246027","http://www.wikidata.org/entity/Q6581097","1921","Glyn Munro Meredith-Owens","male"
"http://www.wikidata.org/entity/Q102247091","http://www.wikidata.org/entity/Q6581097","1952","Yoshinobu Tahara","male"
"http://www.wikidata.org/entity/Q102247295","http://www.wikidata.org/entity/Q6581072","1931","Barbara Harbottle","female"
"http://www.wikidata.org/entity/Q102247700","http://www.wikidata.org/entity/Q6581072","1960","Yoko Shindo","female"
"http://www.wikidata.org/entity/Q102250535","http://www.wikidata.org/entity/Q6581072","1918","Myrtle Streeten","female"
"http://www.wikidata.org/entity/Q102260294","http://www.wikidata.org/entity/Q6581072","1959","Paola Giovetti","female"
"http://www.wikidata.org/entity/Q102276239","http://www.wikidata.org/entity/Q6581097","1946","Abraham van As","male"
"http://www.wikidata.org/entity/Q102279121","http://www.wikidata.org/entity/Q6581097","1836","Giovan Battista Rossi Scotti","male"
"http://www.wikidata.org/entity/Q102293432","http://www.wikidata.org/entity/Q6581072","1941","Alison Easson","female"
"http://www.wikidata.org/entity/Q102312919","http://www.wikidata.org/entity/Q6581072","1932","Zofia Sztetyłło","female"
"http://www.wikidata.org/entity/Q102348","http://www.wikidata.org/entity/Q6581097","1939","Hayo Vierck","male"
"http://www.wikidata.org/entity/Q102348758","http://www.wikidata.org/entity/Q6581072","1970","Barbara Tober","female"
"http://www.wikidata.org/entity/Q102348948","http://www.wikidata.org/entity/Q6581097","1943","Markus Wäfler","male"
"http://www.wikidata.org/entity/Q102352658","http://www.wikidata.org/entity/Q6581072","1953","Priscilla Renouf","female"
"http://www.wikidata.org/entity/Q102360588","http://www.wikidata.org/entity/Q6581072","1908","Margaret E. Wood","female"
